0,0.0,0.0,225.2445,225.2445,0.0010585784912109375,0.0010442733764648438
50,0.0001,0.0001,225.2495,225.2495,0.0031566619873046875,0.0031185150146484375
100,0.0002,0.0002,225.2645,225.2645,0.0052356719970703125,0.005173683166503906
150,0.0005,0.0005,225.2893,225.2893,0.007305145263671875,0.00720977783203125
200,0.0008,0.0008,225.3239,225.3239,0.00934600830078125,0.009236335754394531
250,0.0013,0.0013,225.3683,225.3683,0.011377334594726562,0.011239051818847656
300,0.0019,0.0019,225.4222,225.4222,0.013380050659179688,0.013227462768554688
350,0.0025,0.0025,225.4857,225.4857,0.015382766723632812,0.015196800231933594
400,0.0033,0.0033,225.5586,225.5586,0.01735687255859375,0.017151832580566406
450,0.0042,0.0041,225.6409,225.6409,0.019311904907226562,0.019083023071289062
500,0.0051,0.0051,225.7325,225.7325,0.021257400512695312,0.020999908447265625
550,0.0062,0.0061,225.8333,225.8333,0.023174285888671875,0.022902488708496094
600,0.0074,0.0073,225.9432,225.9432,0.025081634521484375,0.024781227111816406
650,0.0086,0.0085,226.0622,226.0622,0.02696990966796875,0.026650428771972656
700,0.01,0.0099,226.19,226.19,0.028839111328125,0.02849578857421875
750,0.0114,0.0113,226.3268,226.3268,0.030698776245117188,0.03032684326171875
800,0.0129,0.0128,226.4724,226.4724,0.03252983093261719,0.032138824462890625
850,0.0146,0.0144,226.6266,226.6266,0.03434181213378906,0.033936500549316406
900,0.0163,0.0161,226.7895,226.7895,0.036144256591796875,0.03571033477783203
950,0.0181,0.0179,226.9609,226.9609,0.03792762756347656,0.037474632263183594
1000,0.02,0.0198,227.1407,227.1407,0.039691925048828125,0.039215087890625
1050,0.022,0.0217,227.3289,227.3289,0.04143714904785156,0.04094123840332031
1100,0.0241,0.0238,227.5254,227.5254,0.043163299560546875,0.0426483154296875
1150,0.0262,0.0259,227.7301,227.7301,0.04487037658691406,0.044341087341308594
1200,0.0285,0.0281,227.9429,227.9429,0.04657745361328125,0.04601478576660156
1250,0.0308,0.0304,228.1638,228.1638,0.04824638366699219,0.047669410705566406
1300,0.0332,0.0328,228.3925,228.3925,0.04990577697753906,0.049309730529785156
1350,0.0357,0.0353,228.6292,228.6292,0.04870414733886719,0.05364418029785156
1400,0.0381,0.0379,228.837,228.837,0.050182342529296875,0.05539417266845703
1450,0.0406,0.0407,229.0506,229.0506,0.05169868469238281,0.05706310272216797
1500,0.0432,0.0436,229.2706,229.2706,0.053195953369140625,0.05871772766113281
1550,0.0459,0.0465,229.497,229.497,0.054683685302734375,0.06035327911376953
1600,0.0486,0.0495,229.7297,229.7297,0.056133270263671875,0.061974525451660156
1650,0.0514,0.0526,229.9686,229.9686,0.0576019287109375,0.06357192993164062
1700,0.0543,0.0558,230.2137,230.2137,0.05901336669921875,0.06515026092529297
1750,0.0572,0.0591,230.4649,230.4649,0.060443878173828125,0.06671428680419922
1800,0.0603,0.0624,230.7221,230.7221,0.06183624267578125,0.06825923919677734
1850,0.0634,0.0658,230.9853,230.9853,0.06321907043457031,0.06978034973144531
1900,0.0665,0.0693,231.2543,231.2543,0.062313079833984375,0.07327556610107422
1950,0.0696,0.073,231.438,231.438,0.06314277648925781,0.07521629333496094
2000,0.0728,0.0767,231.6065,231.6065,0.06441116333007812,0.0767374038696289
2050,0.076,0.0806,231.7782,231.7782,0.06567001342773438,0.07823467254638672
2100,0.0793,0.0845,231.9531,231.9531,0.06691932678222656,0.07971763610839844
2150,0.0826,0.0885,232.1311,232.1311,0.06814956665039062,0.08118152618408203
2200,0.0861,0.0925,232.3122,232.3122,0.06936073303222656,0.0826263427734375
2250,0.0895,0.0966,232.4964,232.4964,0.07055282592773438,0.08404731750488281
2300,0.0931,0.1008,232.6835,232.6835,0.071258544921875,0.0858449935913086
2350,0.0966,0.1051,232.8058,232.8058,0.07162094116210938,0.08790016174316406
2400,0.1002,0.1095,232.8137,232.8137,0.07273674011230469,0.08928775787353516
2450,0.1038,0.114,232.8217,232.8217,0.07386207580566406,0.0906515121459961
2500,0.1075,0.1185,232.8299,232.8299,0.07494926452636719,0.0919961929321289
2550,0.1113,0.1231,232.8382,232.8382,0.07603645324707031,0.0933218002319336
2600,0.1151,0.1278,232.8465,232.8465,0.07709503173828125,0.09463310241699219
2650,0.1189,0.1325,232.8551,232.8551,0.07847785949707031,0.09564399719238281
2700,0.1229,0.1373,232.7958,232.7958,0.08040428161621094,0.09617805480957031
2750,0.1269,0.1421,232.5544,232.5544,0.08143424987792969,0.09741783142089844
2800,0.1309,0.147,232.3097,232.3097,0.08245468139648438,0.0986337661743164
2850,0.1351,0.1519,232.0614,232.0614,0.08345603942871094,0.09983539581298828
2900,0.1392,0.1569,231.8098,231.8098,0.08443832397460938,0.10101318359375
2950,0.1435,0.162,231.5549,231.5549,0.08542060852050781,0.1021718978881836
3000,0.1477,0.1671,231.2967,231.2967,0.09059906005859375,0.09962081909179688
3050,0.1523,0.1721,230.7554,230.7554,0.09161949157714844,0.10067462921142578
3100,0.1568,0.1771,230.2063,230.2063,0.09259223937988281,0.10173797607421875
3150,0.1615,0.1822,229.6514,229.6514,0.093536376953125,0.10278701782226562
3200,0.1661,0.1873,229.0908,229.0908,0.09447097778320312,0.10381221771240234
3250,0.1709,0.1925,228.5246,228.5246,0.09691238403320312,0.10333538055419922
3300,0.1757,0.1977,227.8981,227.8981,0.10349273681640625,0.09877681732177734
3350,0.1809,0.2026,227.062,227.062,0.1044464111328125,0.09969234466552734
3400,0.1861,0.2076,226.2182,226.2182,0.10537147521972656,0.10057926177978516
